# Directed graph (each unordered pair of nodes is saved once):
# Example generated by webparser.py
# Nodes: 50 Edges: 155 
# FromNodeId	ToNodeId
1	3
2	4
2	3
3	15
3	9
3	12
3	8
3	11
3	16
3	5
3	6
3	14
3	17
3	10
5	3
6	3
7	3
13	3
14	18
15	17
19	20
20	2
21	22
23	2
24	3
25	30
25	31
25	32
25	26
26	30
26	31
26	32
26	25
27	28
27	29
28	27
29	27
30	32
30	25
31	25
32	30
32	25
33	34
35	38
35	42
35	40
35	37
35	39
35	36
35	41
36	38
36	42
36	40
36	35
36	37
36	39
36	41
37	38
37	42
37	40
37	35
37	39
37	36
37	41
38	42
38	40
38	37
38	39
38	36
38	35
38	41
39	38
39	42
39	40
39	35
39	37
39	36
39	41
40	38
40	42
40	35
40	37
40	39
40	36
40	41
41	38
41	42
41	40
41	35
41	37
41	39
41	36
42	38
42	40
42	35
42	37
42	39
42	36
42	41
43	47
43	48
43	49
43	46
43	44
43	50
43	45
44	47
44	48
44	49
44	46
44	50
44	45
44	43
45	47
45	49
45	48
45	46
45	44
45	50
45	43
46	47
46	45
46	48
46	49
46	44
46	50
46	43
47	48
47	49
47	46
47	44
47	45
47	50
47	43
48	47
48	49
48	46
48	44
48	50
48	45
48	43
49	47
49	48
49	46
49	44
49	50
49	45
49	43
50	47
50	49
50	48
50	46
50	44
50	45
50	43
