  Pos   #Nodo   Puntaje
    1       1   (0.800000)
    2       8   (0.100000)
    3       9   (0.100000)
    4       2   (0.000000)
    5       3   (0.000000)
    6       4   (0.000000)
    7       5   (0.000000)
    8       6   (0.000000)
    9       7   (0.000000)
  Pos   #Nodo   Puntaje
    1       1   (0.800000)
    2       2   (0.100000)
    3       3   (0.100000)
    4       4   (0.000000)
    5       5   (0.000000)
    6       6   (0.000000)
    7       7   (0.000000)
    8       8   (0.000000)
    9       9   (0.000000)
