  Pos   #Nodo   Puntaje
    1       1   (0.473848)
    2       8   (0.078821)
    3       9   (0.078821)
    4       2   (0.061418)
    5       3   (0.061418)
    6       4   (0.061418)
    7       5   (0.061418)
    8       6   (0.061418)
    9       7   (0.061418)
  Pos   #Nodo   Puntaje
    1       1   (0.473848)
    2       2   (0.078821)
    3       3   (0.078821)
    4       4   (0.061418)
    5       5   (0.061418)
    6       6   (0.061418)
    7       7   (0.061418)
    8       8   (0.061418)
    9       9   (0.061418)
